#date=2021/12/23 13:02:22;source=MUSIALv2.0;reference=TP0326;samples=75
Sample	Homozygous_Calls	Heterozygous_Calls	Rejected_Calls	Deleted_Positions	Inserted_Positions	SNVs
PT_SIF0857	12	0	0	0	0	12
Q3	12	0	0	0	0	12
SHC-0	12	0	0	0	0	12
PT_SIF1348	12	0	0	0	0	12
PT_SIF0697	13	0	1	0	0	12
CZ33	13	0	2	0	0	11
PT_SIF1142	12	0	0	0	0	12
PT_SIF1020	12	0	0	0	0	12
PT_SIF1063	12	0	0	0	0	12
PT_SIF1140	14	0	2	0	0	12
PT_SIF1261	12	0	0	0	0	12
PT_SIF1183	12	0	0	0	0	12
GHA1	11	0	3	0	0	8
NE20	5	0	1	0	11	2
PT_SIF0877_3	12	0	0	0	0	12
A2_2	12	0	1	0	0	11
A2_1	12	0	10	0	0	2
GRA2	12	0	0	0	0	12
SHG-I2	12	0	0	0	0	12
AR2	13	0	1	0	0	12
SS14	12	0	0	0	0	12
SHD-R	12	0	0	0	0	12
PT_SIF1278	12	0	0	0	0	12
PT_SIF1156	12	0	0	0	0	12
PT_SIF1196	12	0	0	0	0	12
B3	12	0	0	0	0	12
NE17	12	0	0	0	0	12
NE19	12	0	0	0	0	12
NE12	12	0	0	0	0	12
NE13	12	0	4	0	0	8
NE14	13	0	1	0	0	12
NE15	12	0	0	0	0	12
SamoaD	12	0	3	0	0	9
Nichols	0	0	0	0	0	0
PT_SIF0954	12	0	0	0	0	12
AU17	12	0	0	0	0	12
PT_SIF1127	13	0	1	0	0	12
AU15	12	0	0	0	0	12
AU16	12	0	0	0	0	12
PT_SIF0751	0	0	0	0	0	0
AU13	12	0	6	0	0	6
K3	12	0	0	0	0	12
BAL73	0	0	0	0	0	0
PT_SIF1002	12	0	0	0	0	12
PT_SIF1167	12	0	0	0	0	12
PT_SIF1200	12	0	0	0	0	12
PT_SIF1242	12	0	0	0	0	12
SW1	12	0	0	0	0	12
UW1	15	0	4	0	0	11
C3	12	0	0	0	0	12
PT_SIF1280	12	0	0	0	0	12
SW4	12	0	3	0	0	9
SW6	13	0	0	0	0	13
SW8	13	0	1	0	0	12
PT_SIF0908	12	0	0	0	0	12
Dallas	0	0	0	0	0	0
SEA86	4	0	4	0	0	0
CZ27	12	0	0	0	0	12
P3	12	0	0	0	0	12
Chicago	0	0	0	0	0	0
PT_SIF1135	12	0	0	0	0	12
MexicoA	5	0	2	0	0	3
PT_SIF1299	12	0	0	0	0	12
SHE-V	12	0	0	0	0	12
Seattle81	4	0	0	0	0	4
BosniaA	11	0	0	0	0	11
PT_SIF1252	12	0	0	0	0	12
Gauthier	12	0	2	0	0	10
NIC1	0	0	0	0	0	0
NIC2	0	0	0	0	0	0
CDC2	10	0	2	0	0	8
IND1	13	0	3	0	0	10
SAM1	12	0	1	15	0	10
BAL3	1	0	0	0	0	1
Fribourg	10	0	2	0	0	8
